#,Address,Source,Live Registers
,,sumKernel,
79,00007f07 42f99fe0,"     ISETP.GE.AND P1, PT, R11, 0x2, PT ",8
80,00007f07 42f99ff0,"     IMAD.SHL.U32 R5, R3, 0x4, RZ ",8
81,00007f07 42f9a000,"     ISETP.NE.AND P0, PT, R3, RZ, PT ",8
82,00007f07 42f9a010,"     STS [R5], R10 ",8
83,00007f07 42f9a020,     NOP ,7
84,00007f07 42f9a030,     BAR.SYNC 0x0 ,7
85,00007f07 42f9a040,@!P1 BRA 0x7f0742f9a120 ,7
86,00007f07 42f9a050,"     LEA.HI R4, R2, R2, RZ, 0x1 ",8
87,00007f07 42f9a060,"     SHF.R.S32.HI R8, RZ, 0x1, R4 ",9
88,00007f07 42f9a070,"     ISETP.GT.AND P1, PT, R8, R3, PT ",9
89,00007f07 42f9a080,"@P1  IMAD R4, R8, 0x4, R5 ",9
90,00007f07 42f9a090,"@P1  LDS.U R6, [R5] ",9
91,00007f07 42f9a0a0,"@P1  LDS.U R7, [R4] ",9
92,00007f07 42f9a0b0,"@P1  FADD R6, R6, R7 ",8
93,00007f07 42f9a0c0,"@P1  STS [R5], R6 ",8
94,00007f07 42f9a0d0,     NOP ,8
95,00007f07 42f9a0e0,     BAR.SYNC 0x0 ,8
96,00007f07 42f9a0f0,"     ISETP.GT.AND P1, PT, R2, 0x3, PT ",8
97,00007f07 42f9a100,"     MOV R2, R8 ",8
98,00007f07 42f9a110,@P1  BRA 0x7f0742f9a050 ,7
99,00007f07 42f9a120,@P0  EXIT ,2
100,00007f07 42f9a130,"     LDS.U R5, [RZ] ",3
101,00007f07 42f9a140,"     IMAD.MOV.U32 R3, RZ, RZ, 0x4 ",4
102,00007f07 42f9a150,"     IMAD.WIDE R2, R0, R3, c[0x0][0x160] ",5
103,00007f07 42f9a160,"     STG.E.SYS [R2], R5 ",4
104,00007f07 42f9a170,     EXIT ,1
105,00007f07 42f9a180,     BRA 0x7f0742f9a180,0
106,00007f07 42f9a190,     NOP,
107,00007f07 42f9a1a0,     NOP,
108,00007f07 42f9a1b0,     NOP,
109,00007f07 42f9a1c0,     NOP,
110,00007f07 42f9a1d0,     NOP,
111,00007f07 42f9a1e0,     NOP,
112,00007f07 42f9a1f0,     NOP,
