# Elements 1e+06
[00001.960 ms] [14.357358] sumSeq
[00000.084 ms] [16.695312] sumCuda<<<auto, 512>>> [thread-duty=12]
[00000.081 ms] [16.695324] sumCuda<<<auto, 512>>> [thread-duty=16]
[00000.080 ms] [16.695324] sumCuda<<<auto, 512>>> [thread-duty=24]
[00000.079 ms] [16.695312] sumCuda<<<auto, 512>>> [thread-duty=32]
[00000.080 ms] [16.695311] sumCuda<<<auto, 512>>> [thread-duty=48]
[00000.080 ms] [16.695311] sumCuda<<<auto, 512>>> [thread-duty=64]
[00000.248 ms] [16.695335] sumCuda<<<auto, 1024>>> [thread-duty=1]
[00000.153 ms] [16.695330] sumCuda<<<auto, 1024>>> [thread-duty=2]
[00000.121 ms] [16.695328] sumCuda<<<auto, 1024>>> [thread-duty=3]
[00000.092 ms] [16.695333] sumCuda<<<auto, 1024>>> [thread-duty=4]
[00000.081 ms] [16.695312] sumCuda<<<auto, 1024>>> [thread-duty=6]
[00000.081 ms] [16.695324] sumCuda<<<auto, 1024>>> [thread-duty=8]
[00000.080 ms] [16.695324] sumCuda<<<auto, 1024>>> [thread-duty=12]
[00000.079 ms] [16.695312] sumCuda<<<auto, 1024>>> [thread-duty=16]
[00000.081 ms] [16.695311] sumCuda<<<auto, 1024>>> [thread-duty=24]
[00000.078 ms] [16.695312] sumCuda<<<auto, 1024>>> [thread-duty=32]
[00000.079 ms] [16.695314] sumCuda<<<auto, 1024>>> [thread-duty=48]
[00000.078 ms] [16.695311] sumCuda<<<auto, 1024>>> [thread-duty=64]

# Elements 1e+08
[00161.716 ms] [15.403683] sumSeq
[00000.638 ms] [18.997284] sumCuda<<<auto, 32>>> [thread-duty=1]
[00000.631 ms] [18.997284] sumCuda<<<auto, 32>>> [thread-duty=2]
[00000.629 ms] [18.997284] sumCuda<<<auto, 32>>> [thread-duty=3]
[00000.630 ms] [18.997284] sumCuda<<<auto, 32>>> [thread-duty=4]
[00000.630 ms] [18.997284] sumCuda<<<auto, 32>>> [thread-duty=6]
[00000.628 ms] [18.997284] sumCuda<<<auto, 32>>> [thread-duty=8]
[00000.639 ms] [18.997284] sumCuda<<<auto, 32>>> [thread-duty=12]
[00000.624 ms] [18.997284] sumCuda<<<auto, 32>>> [thread-duty=16]
[00000.628 ms] [18.997284] sumCuda<<<auto, 32>>> [thread-duty=24]
[00000.628 ms] [18.997284] sumCuda<<<auto, 32>>> [thread-duty=32]
[00000.622 ms] [18.997284] sumCuda<<<auto, 32>>> [thread-duty=48]
[00000.588 ms] [18.997864] sumCuda<<<auto, 32>>> [thread-duty=64]
[00000.627 ms] [18.997282] sumCuda<<<auto, 64>>> [thread-duty=1]
[00000.625 ms] [18.997282] sumCuda<<<auto, 64>>> [thread-duty=2]
[00000.626 ms] [18.997282] sumCuda<<<auto, 64>>> [thread-duty=3]
[00000.623 ms] [18.997282] sumCuda<<<auto, 64>>> [thread-duty=4]
[00000.625 ms] [18.997282] sumCuda<<<auto, 64>>> [thread-duty=6]
[00000.627 ms] [18.997282] sumCuda<<<auto, 64>>> [thread-duty=8]
[00000.626 ms] [18.997282] sumCuda<<<auto, 64>>> [thread-duty=12]
[00000.623 ms] [18.997282] sumCuda<<<auto, 64>>> [thread-duty=16]
[00000.627 ms] [18.997282] sumCuda<<<auto, 64>>> [thread-duty=24]
[00000.588 ms] [18.997862] sumCuda<<<auto, 64>>> [thread-duty=32]
[00000.552 ms] [18.997772] sumCuda<<<auto, 64>>> [thread-duty=48]
[00000.531 ms] [18.998075] sumCuda<<<auto, 64>>> [thread-duty=64]
[00000.625 ms] [18.997284] sumCuda<<<auto, 128>>> [thread-duty=1]
[00000.628 ms] [18.997284] sumCuda<<<auto, 128>>> [thread-duty=2]
[00000.628 ms] [18.997284] sumCuda<<<auto, 128>>> [thread-duty=3]
[00000.619 ms] [18.997284] sumCuda<<<auto, 128>>> [thread-duty=4]
[00000.634 ms] [18.997284] sumCuda<<<auto, 128>>> [thread-duty=6]
[00000.625 ms] [18.997284] sumCuda<<<auto, 128>>> [thread-duty=8]
[00000.623 ms] [18.997284] sumCuda<<<auto, 128>>> [thread-duty=12]
[00000.587 ms] [18.997862] sumCuda<<<auto, 128>>> [thread-duty=16]
[00000.549 ms] [18.997772] sumCuda<<<auto, 128>>> [thread-duty=24]
[00000.532 ms] [18.998075] sumCuda<<<auto, 128>>> [thread-duty=32]
[00000.509 ms] [18.997879] sumCuda<<<auto, 128>>> [thread-duty=48]
[00000.506 ms] [18.997894] sumCuda<<<auto, 128>>> [thread-duty=64]
[00000.631 ms] [18.997282] sumCuda<<<auto, 256>>> [thread-duty=1]
[00000.627 ms] [18.997282] sumCuda<<<auto, 256>>> [thread-duty=2]
[00000.625 ms] [18.997282] sumCuda<<<auto, 256>>> [thread-duty=3]
[00000.645 ms] [18.997282] sumCuda<<<auto, 256>>> [thread-duty=4]
[00000.624 ms] [18.997282] sumCuda<<<auto, 256>>> [thread-duty=6]
[00000.590 ms] [18.997862] sumCuda<<<auto, 256>>> [thread-duty=8]
[00000.548 ms] [18.997772] sumCuda<<<auto, 256>>> [thread-duty=12]
[00000.530 ms] [18.998075] sumCuda<<<auto, 256>>> [thread-duty=16]
[00000.511 ms] [18.997879] sumCuda<<<auto, 256>>> [thread-duty=24]
[00000.503 ms] [18.997894] sumCuda<<<auto, 256>>> [thread-duty=32]
[00000.493 ms] [18.997921] sumCuda<<<auto, 256>>> [thread-duty=48]
[00000.488 ms] [18.997902] sumCuda<<<auto, 256>>> [thread-duty=64]
[00000.858 ms] [18.997284] sumCuda<<<auto, 512>>> [thread-duty=1]
[00000.856 ms] [18.997284] sumCuda<<<auto, 512>>> [thread-duty=2]
[00000.855 ms] [18.997284] sumCuda<<<auto, 512>>> [thread-duty=3]
[00000.591 ms] [18.997862] sumCuda<<<auto, 512>>> [thread-duty=4]
[00000.550 ms] [18.997772] sumCuda<<<auto, 512>>> [thread-duty=6]
[00000.529 ms] [18.998075] sumCuda<<<auto, 512>>> [thread-duty=8]
[00000.512 ms] [18.997879] sumCuda<<<auto, 512>>> [thread-duty=12]
[00000.501 ms] [18.997894] sumCuda<<<auto, 512>>> [thread-duty=16]
[00000.495 ms] [18.997921] sumCuda<<<auto, 512>>> [thread-duty=24]
[00000.488 ms] [18.997904] sumCuda<<<auto, 512>>> [thread-duty=32]
[00000.482 ms] [18.997906] sumCuda<<<auto, 512>>> [thread-duty=48]
[00000.481 ms] [18.997908] sumCuda<<<auto, 512>>> [thread-duty=64]
[00001.518 ms] [18.997862] sumCuda<<<auto, 1024>>> [thread-duty=1]
[00001.223 ms] [18.997862] sumCuda<<<auto, 1024>>> [thread-duty=2]
[00000.909 ms] [18.997772] sumCuda<<<auto, 1024>>> [thread-duty=3]
[00000.617 ms] [18.998075] sumCuda<<<auto, 1024>>> [thread-duty=4]
[00000.540 ms] [18.997879] sumCuda<<<auto, 1024>>> [thread-duty=6]
[00000.502 ms] [18.997894] sumCuda<<<auto, 1024>>> [thread-duty=8]
[00000.495 ms] [18.997921] sumCuda<<<auto, 1024>>> [thread-duty=12]
[00000.491 ms] [18.997904] sumCuda<<<auto, 1024>>> [thread-duty=16]
