# Elements 1e+06
[00000.944 ms] [18.997896] sumCuda<<<16384, 32>>>
[00000.932 ms] [18.997896] sumCuda<<<16384, 64>>>
[00000.929 ms] [18.997896] sumCuda<<<16384, 128>>>
[00000.928 ms] [18.997896] sumCuda<<<16384, 256>>>
[00000.928 ms] [18.997896] sumCuda<<<16384, 512>>>
[00000.930 ms] [18.997896] sumCuda<<<16384, 1024>>>
[00000.946 ms] [18.997896] sumCuda<<<32768, 32>>>
[00000.932 ms] [18.997896] sumCuda<<<32768, 64>>>
[00000.933 ms] [18.997896] sumCuda<<<32768, 128>>>
[00000.933 ms] [18.997896] sumCuda<<<32768, 256>>>
[00000.933 ms] [18.997896] sumCuda<<<32768, 512>>>
[00001.024 ms] [18.997896] sumCuda<<<32768, 1024>>>

# Elements 1e+09
[01572.158 ms] [21.300482] sumSeq
[00012.420 ms] [21.300482] sumCuda<<<1024, 32>>>
[00010.851 ms] [21.300482] sumCuda<<<1024, 64>>>
[00010.151 ms] [21.300482] sumCuda<<<1024, 128>>>
[00008.993 ms] [21.300482] sumCuda<<<1024, 256>>>
[00009.230 ms] [21.300482] sumCuda<<<1024, 512>>>
[00008.990 ms] [21.300482] sumCuda<<<1024, 1024>>>
[00010.332 ms] [21.300482] sumCuda<<<2048, 32>>>
[00009.717 ms] [21.300482] sumCuda<<<2048, 64>>>
[00009.532 ms] [21.300482] sumCuda<<<2048, 128>>>
[00009.195 ms] [21.300482] sumCuda<<<2048, 256>>>
[00008.970 ms] [21.300482] sumCuda<<<2048, 512>>>
[00008.942 ms] [21.300482] sumCuda<<<2048, 1024>>>
[00009.417 ms] [21.300482] sumCuda<<<4096, 32>>>
[00009.120 ms] [21.300482] sumCuda<<<4096, 64>>>
[00009.106 ms] [21.300482] sumCuda<<<4096, 128>>>
[00008.970 ms] [21.300482] sumCuda<<<4096, 256>>>
[00008.949 ms] [21.300482] sumCuda<<<4096, 512>>>
[00008.964 ms] [21.300482] sumCuda<<<4096, 1024>>>
[00009.094 ms] [21.300482] sumCuda<<<8192, 32>>>
[00008.974 ms] [21.300482] sumCuda<<<8192, 64>>>
[00009.017 ms] [21.300482] sumCuda<<<8192, 128>>>
[00008.941 ms] [21.300482] sumCuda<<<8192, 256>>>
[00008.963 ms] [21.300482] sumCuda<<<8192, 512>>>
[00008.940 ms] [21.300482] sumCuda<<<8192, 1024>>>
[00009.156 ms] [21.300482] sumCuda<<<16384, 32>>>
[00009.038 ms] [21.300482] sumCuda<<<16384, 64>>>
[00009.065 ms] [21.300482] sumCuda<<<16384, 128>>>
[00008.952 ms] [21.300482] sumCuda<<<16384, 256>>>
[00008.939 ms] [21.300482] sumCuda<<<16384, 512>>>
[00008.940 ms] [21.300482] sumCuda<<<16384, 1024>>>
[00009.050 ms] [21.300482] sumCuda<<<32768, 32>>>
[00008.986 ms] [21.300482] sumCuda<<<32768, 64>>>
[00008.987 ms] [21.300482] sumCuda<<<32768, 128>>>
[00008.944 ms] [21.300482] sumCuda<<<32768, 256>>>
[00008.943 ms] [21.300482] sumCuda<<<32768, 512>>>
[00008.943 ms] [21.300482] sumCuda<<<32768, 1024>>>
